query,embedding_time,retrieval_time,total_time,answer
when to grow rice?,0.0165,0.0112,0.0278,"during the two distinct seasons (dry and wet) of the year provided that sufficient water is made available. It is normally an annual, but in the tropics it can survive as a perennial, producing a rato"
when to grow rice?,0.0134,0.0123,0.0257,"It can be grown during the two distinct seasons (dry and wet) of the year provided that sufficient water is made available. It is normally an annual, but in the tropics it can survive as a perennial, "
what is best crop to grow in india?,0.0354,0.0096,0.0450,Sorghum is the fifth most common cereal crop grown in the world. It is usually grown without fertilizers or other inputs by small-holder farmers in developing countries. They benefit from sorghum's ab
when is best time to grow rice?,0.0279,0.0155,0.0435,dry and wet
when to grow wheat?,0.0353,0.0132,0.0485,in the growing season
what is wheat?,0.0330,0.0103,0.0434,"Wheat is a group of wild and domesticated grasses of the genus Triticum (). They are cultivated for their cereal grains, which are staple foods around the world. Well-known wheat species and hybrids i"
tell me about potato?,0.0264,0.0101,0.0364,"The potato () is a starchy tuberous vegetable native to the Americas that is consumed as a staple food in many parts of the world. Potatoes are underground stem tubers of the plant Solanum tuberosum, "
when to grow rice?,0.0290,0.0143,0.0433,during the two distinct seasons (dry and wet) of the year provided that sufficient water is made available
when is best time to grow wheat?,0.0478,0.0104,0.0582,in the growing season
when is wheat?,0.0249,0.0111,0.0360,around 9600 BC
what is wheat?,0.0371,0.0117,0.0488,"Wheat is a group of wild and domesticated grasses of the genus Triticum (). They are cultivated for their cereal grains, which are staple foods around the world."
what is maize?,0.0253,0.0108,0.0361,a tall stout grass that produces cereal grain
when is best time to grow wheat?,0.0312,0.0166,0.0479,"It needs to develop to a height of 10 to 15 cm before the cold intervenes, so as to be able to survive the winter; it requires a period with the temperature at or near freezing, its dormancy then bein"
when to grow rice?,0.0367,0.0109,0.0476,"From seed to harvest, it takes about six months"
when is best time to grow maize?,0.0506,0.0104,0.0610,spring
which crop is the best,0.0466,0.0080,0.0547,wheat
what is the best time to grow wheat,0.0419,0.0061,0.0481,"During the growing season, the farmer may intervene while the crop is growing to add fertilizer, water by irrigation, or pesticides such as herbicides to freeze. It needs to develop to a height of 10 "
what is the best time to plant wheat,0.0297,0.0051,0.0348,"The farmer may intervene while the crop is growing to add fertilizer, water by irrigation, or pesticides such as herbicides to freeze. It needs to develop to a height of 10 to 15 cm before the cold in"
what is the best time to plant wheat,0.0340,0.0116,4.1043,"During the winter, the farmer may intervene while the crop is growing to add fertilizer, water by irrigation, or pesticides such as herbicides to kill broad-leaved weeds or insecticides to kill insect"
what is  the best time to plant wheat,0.0339,0.0077,0.3613,Based on the available information: potassium. An acid and peaty soil is not suitable. Wheat needs some 30 to 38 cm of rain in the growi...
how much rain is needed for wheat,0.0322,0.0081,0.6577,"Based on the available information: freeze. It needs to develop to a height of 10 to 15 cm before the cold intervenes, so as to be able ..."
wtf,0.0352,0.0069,0.3998,"Based on the available information: in tips of iron. Her bosoms are also long, and as such must be thrown over her shoulders when she ru..."
what is the best wheat ,0.0441,0.0057,4.8667,Based on the available information: ## Wheat Wheat is a group of wild and domesticated grasses of the genus Triticum (). They are cultiv...
helo,0.0263,0.0113,3.6759,The Heavenly one who made the stars [Generated by T5]
what is the best time to buy wheat,0.0095,0.0069,1.3644,"The provided context doesn't offer information on wheat market timing. Therefore, I cannot determine the best time to buy wheat based on this data. [Generated by Gemini]"
what questions can you answer,0.0391,0.0046,1.7737,"Based on the provided context, I can answer questions related to plant identification within the provided list (Source 1), aphid morphology and defense mechanisms, including the presence of soldier mo"
"""What are the best practices for organic tomato cultivation?""",0.0213,0.0024,2.2450,"The provided context offers limited information on organic tomato cultivation best practices. While Source 3 mentions that stressed plants are more susceptible to diseases like Verticillium wilt, a ge"
"""What are the best practices for organic tomato cultivation?""",0.0108,0.0033,10.4881,"Based on the provided context, a key best practice is to manage plant health to prevent disease. To avoid issues like Verticillium wilt, it is crucial to maintain healthy, non-stressed plants, as they"
